Category,University,Faculty,Program,2022,2023,2024
آداب,جامعة سوسة,المعهد العالي للموسيقى بسوسة,الإجازة في الموسيقى و العلوم الموسيقية,81.9299,79.0151,94.6717
آداب,جامعة سوسة,المعهد العالى للفنون الجميلة بسوسة,الإجازة في المحافظة على الممتلكات الثقافية و ترميمها,91.3741,92.2767,90.0887
آداب,جامعة سوسة,المعهد العالى للفنون الجميلة بسوسة,الإجازة في الفنون التشكيلية,93.0986,94.9019,95.1177
آداب,جامعة سوسة,المعهد العالى للفنون الجميلة بسوسة,الإجازة في تصميم الفضاء,123.7188,121.3273,121.67
آداب,جامعة سوسة,المعهد العالى للفنون الجميلة بسوسة,الاجازة في تصميم المنتوج,117.3309,114.86,112.145
آداب,جامعة سوسة,المعهد العالى للفنون الجميلة بسوسة,الاجازة في تصميم الصورة,117.363,114.4419,116.16
آداب,جامعة سوسة,المدرسة العليا لعلوم و تقنيات الصحة بسوسة,الإجازة في الرعاية الصحية للطفل,164.3039,123.264,155.5727
آداب,جامعة سوسة,المدرسة العليا لعلوم و تقنيات الصحة بسوسة,الإجازة في الرعاية الصحية الإستعجالية والانعاش,169.5629,143.325,133.565
آداب,جامعة سوسة,المعهد العالي لعلوم التمريض بسوسة,الإجازة في علوم التمريض-اناث,169.6004,169.92,138.285
آداب,جامعة سوسة,المعهد العالي لعلوم التمريض بسوسة,الإجازة في علوم التمريض-ذكور,138.3136,117.875,130.6363
آداب,جامعة صفاقس,كلية الطب بصفاقس,الطب,166.62,158.175,140.1
آداب,جامعة صفاقس,كلية الآداب والعلوم الإنسانية بصفاقس,الإجازة في العربية,92.435,89.9482,90.3748
آداب,جامعة صفاقس,كلية الآداب والعلوم الإنسانية بصفاقس,الإجازة في الإنقليزية,100.8417,96.4116,96.9869
آداب,جامعة صفاقس,كلية الآداب والعلوم الإنسانية بصفاقس,الإجازة في الفرنسية,77.9452,69.7251,72.0519
آداب,جامعة صفاقس,كلية الآداب والعلوم الإنسانية بصفاقس,الإجازة في الإسبانية,79.9066,77.8966,84.2002
آداب,جامعة صفاقس,كلية الآداب والعلوم الإنسانية بصفاقس,الإجازة في الإيطالية,84.8935,73.5553,70.9266
آداب,جامعة صفاقس,كلية الآداب والعلوم الإنسانية بصفاقس,الإجازة في علم الاجتماع,104.515,100.4715,109.3112
آداب,جامعة صفاقس,كلية الآداب والعلوم الإنسانية بصفاقس,الإجازة في الفلسفة,94.2794,90.5525,92.8865
آداب,جامعة صفاقس,كلية الآداب والعلوم الإنسانية بصفاقس,الإجازة في التاريخ,80.4766,78.8217,68.7802
آداب,جامعة صفاقس,كلية الآداب والعلوم الإنسانية بصفاقس,الإجازة في الجغرافيا,74.1015,83.7471,79.7368
آداب,جامعة صفاقس,كلية الآداب والعلوم الإنسانية بصفاقس,الإجازة في الترجمة,100.7219,95.235,99.475
آداب,جامعة صفاقس,كلية الآداب والعلوم الإنسانية بصفاقس,الإجازة في حفظ الممتلكات الثقافية,89.35,85.3533,92.1
آداب,جامعة صفاقس,كلية الحقوق بصفاقس,الإجازة في القانون,107.235,102.42,103.805
آداب,جامعة صفاقس,المدرسة العليا لعلوم وتقنيات الصحة بصفاقس,الإجازة في العلاج الطبيعي,160.8638,141.8339,133.6591
آداب,جامعة صفاقس,المدرسة العليا لعلوم وتقنيات الصحة بصفاقس,الإجازة في علوم التوليد - قابلة,159.7243,142.6738,142.8397
آداب,جامعة صفاقس,المعهد العالي للموسيقى بصفاقس,الإجازة في الموسيقى و العلوم الموسيقية,83.845,84.7549,96.8618
آداب,جامعة صفاقس,المعهد العالى للفنون و الحرف بصفاقس,الإجازة في الفنون التشكيلية,88.0383,85.6865,85.5883
آداب,جامعة صفاقس,المعهد العالى للفنون و الحرف بصفاقس,الإجازة في تصميم الفضاء,118.9947,111.708,117.149
آداب,جامعة صفاقس,المعهد العالى للفنون و الحرف بصفاقس,الاجازة في تصميم المنتوج,111.2212,107.9202,106.465
آداب,جامعة صفاقس,المعهد العالى للفنون و الحرف بصفاقس,الاجازة في تصميم الصورة,110.6989,109.1167,107.7205
آداب,جامعة صفاقس,المعهد العالى للفنون و الحرف بصفاقس,الإجازة في السينما والسمعي البصري,111.708,109.6396,104.2412
آداب,جامعة صفاقس,المعهد العالى للفنون و الحرف بصفاقس,الإجازة في الفنون و الوسائط,120.39,109.9835,124.8048
آداب,جامعة صفاقس,المعهد العالي للرياضة و التربية البدنية بصفاقس,الإجازة في علوم وتقنيات الأنشطة البدنية والرياضة,154.5294,127.74,134.7933
آداب,جامعة صفاقس,المعهد العالي لعلوم التمريض بصفاقس,الإجازة في علوم التمريض-اناث,161.7252,161.1153,146.2262
آداب,جامعة صفاقس,المعهد العالي لعلوم التمريض بصفاقس,الإجازة في علوم التمريض-ذكور,135.8258,117.2453,112.4463
آداب,جامعة جندوبة,كلية العلوم القانونية والإقتصادية والتصرف بجندوبة,الإجازة في القانون,100.4784,96.8794,98.1551
آداب,جامعة جندوبة,المعهد العالي للدراسات التطبيقية في الإنسانيات بالكاف,الإجازة في الإنقليزية,86.6592,84.2553,71.4782
آداب,جامعة جندوبة,المعهد العالي للدراسات التطبيقية في الإنسانيات بالكاف,الإجازة في الفرنسية,72.4417,72.585,70.0601
آداب,جامعة جندوبة,المعهد العالي للدراسات التطبيقية في الإنسانيات بالكاف,الإجازة في التربية والتعليم,130.33,111.115,123.81
آداب,جامعة جندوبة,المعهد العالي للعلوم الإنسانية بجندوبة,الإجازة في الإنقليزية,85.165,77.0099,76.8567
